SpeciesNum,SampleID,Beta,Gamma,CollapseTP,RecoveryTP,RelativeHysteresis
2,82,0.8,0.3,0.08873747,0.020200401,19.038076
2,83,0.8,0.3,0.09378758,0.023807615,19.438878
2,84,0.8,0.3,0.07647295,0.033186373,12.024048
2,85,0.8,0.3,0.11543086,0.025250501,25.0501
2,86,0.8,0.3,0.05987976,0.012264529,13.226453
2,87,0.8,0.3,0.07863727,0.015871743,17.43487
2,88,0.8,0.3,0.06420842,0.015871743,13.426854
2,89,0.8,0.3,0.14284569,0.026693387,32.264529
2,90,0.8,0.3,0.07647295,0.023086172,14.829659
2,91,0.8,0.3,0.06997996,0.019478958,14.028056
2,92,0.8,0.3,0.10316633,0.023086172,22.244489
2,93,0.8,0.3,0.09523046,0.026693387,19.038076
2,94,0.8,0.3,0.07863727,0.015871743,17.43487
2,95,0.8,0.3,0.03823647,0.010821643,7.61523
2,96,0.8,0.3,0.09018036,0.024529058,18.236473
2,97,0.8,0.3,0.1111022,0.020921844,25.0501
2,98,0.8,0.3,0.06853707,0.021643287,13.026052
2,99,0.8,0.3,0.10388778,0.025971944,21.643287
2,100,0.8,0.3,0.0656513,0.012264529,14.829659
3,1,0.8,0.3,0.06420842,0.015871743,13.426854
3,2,0.8,0.3,0.04689379,0.003607214,12.024048
3,3,0.8,0.3,0.05915832,0.0101002,13.627255
3,4,0.8,0.3,0.05266533,0.009378758,12.024048
3,5,0.8,0.3,0.0656513,0.015871743,13.827655
3,6,0.8,0.3,0.0959519,0.006492986,24.849699
3,7,0.8,0.3,0.06925852,0.011543086,16.032064
3,8,0.8,0.3,0.0656513,0.0101002,15.430862
3,9,0.8,0.3,0.06420842,0.012985972,14.228457
3,10,0.8,0.3,0.0808016,0.010821643,19.438878
3,11,0.8,0.3,0.08368737,0.010821643,20.240481
3,12,0.8,0.3,0.03102204,0.002885772,7.815631
3,13,0.8,0.3,0.02813627,0.004328657,6.613226
3,14,0.8,0.3,0.05771543,0.004328657,14.829659
3,15,0.8,0.3,0.08513026,0.010821643,20.641283
3,16,0.8,0.3,0.0555511,0.010821643,12.42485
3,17,0.8,0.3,0.05771543,0.014428858,12.024048
3,18,0.8,0.3,0.07791583,0.007935872,19.438878
3,19,0.8,0.3,0.06204409,0.011543086,14.028056
3,20,0.8,0.3,0.05627255,0.007214429,13.627255
3,21,0.8,0.3,0.0555511,0.003607214,14.428858
3,22,0.8,0.3,0.10533066,0.008657315,26.853707
3,23,0.8,0.3,0.0454509,0.005771543,11.022044
3,24,0.8,0.3,0.03102204,0.0050501,7.214429
3,25,0.8,0.3,0.05194389,0.003607214,13.426854
3,26,0.8,0.3,0.08657315,0.011543086,20.841683
3,27,0.8,0.3,0.05338677,0.015871743,10.420842
3,28,0.8,0.3,0.03174349,0.007214429,6.813627
3,29,0.8,0.3,0.06853707,0.012264529,15.631263
3,30,0.8,0.3,0.0454509,0.002885772,11.823647
3,31,0.8,0.3,0.06276553,0.012985972,13.827655
3,32,0.8,0.3,0.04689379,0.002885772,12.224449
3,33,0.8,0.3,0.07503006,0.005771543,19.238477
3,34,0.8,0.3,0.05194389,0.003607214,13.426854
3,35,0.8,0.3,0.05771543,0.018036072,11.022044
3,36,0.8,0.3,0.05771543,0.010821643,13.026052
3,37,0.8,0.3,0.10028056,0.005771543,26.252505
3,38,0.8,0.3,0.06853707,0.0050501,17.635271
3,39,0.8,0.3,0.06204409,0.008657315,14.829659
3,40,0.8,0.3,0.06132265,0.0101002,14.228457
3,41,0.8,0.3,0.06420842,0.007935872,15.631263
3,42,0.8,0.3,0.06348697,0.005771543,16.032064
3,43,0.8,0.3,0.05338677,0.013707415,11.022044
3,44,0.8,0.3,0.05699399,0.0101002,13.026052
3,45,0.8,0.3,0.07286573,0.008657315,17.835671
3,46,0.8,0.3,0.06420842,0.008657315,15.430862
