"X","Y","Type","Class"
-60.7916666666667,-22.5416666666667,1,"1"
45.375,-22.5416666666667,1,"1"
125.125,-22.5416666666667,1,"1"
33.875,-22.4583333333333,1,"1"
124.208333333333,-22.4583333333333,1,"1"
125.041666666667,-22.4583333333333,1,"1"
20.875,-22.375,1,"1"
34.7083333333333,-22.375,1,"1"
-61.625,-22.2916666666667,1,"1"
-60.7083333333333,-22.2916666666667,1,"1"
-45.125,-22.2916666666667,1,"1"
30.7083333333333,-22.2916666666667,1,"1"
124.208333333333,-22.2916666666667,1,"1"
31.5416666666667,-22.2083333333333,1,"1"
33.125,-22.2083333333333,1,"1"
33.2083333333333,-22.2083333333333,1,"1"
31.4583333333333,-22.125,1,"1"
31.5416666666667,-22.125,1,"1"
32.875,-22.125,1,"1"
34.2083333333333,-22.125,1,"1"
-61.0416666666667,-22.0416666666667,1,"1"
44.375,-22.0416666666667,1,"1"
118.708333333333,-22.0416666666667,1,"1"
-61.625,-21.9583333333333,1,"1"
33.2916666666667,-21.9583333333333,1,"1"
33.7916666666667,-21.9583333333333,1,"1"
47.7083333333333,-21.9583333333333,1,"1"
-41.125,-21.875,1,"2"
33.7916666666667,-21.875,1,"1"
47.7083333333333,-21.875,1,"1"
149.125,-21.875,1,"1"
-61.2916666666667,-21.7916666666667,1,"1"
47.7916666666667,-21.7916666666667,1,"1"
127.208333333333,-21.7916666666667,1,"1"
-61.375,-21.7083333333333,1,"1"
-53.625,-21.7083333333333,1,"2"
-49.9583333333333,-21.7083333333333,1,"2"
35.2083333333333,-21.7083333333333,1,"1"
118.541666666667,-21.7083333333333,1,"1"
-52.0416666666667,-21.625,1,"2"
-42.875,-21.625,1,"2"
119.458333333333,-21.625,1,"1"
124.541666666667,-21.625,1,"1"
-46.2916666666667,-21.5416666666667,1,"2"
33.125,-21.5416666666667,1,"1"
33.2916666666667,-21.5416666666667,1,"1"
124.958333333333,-21.4583333333333,1,"1"
-58.7916666666667,-21.375,1,"1"
-58.375,-21.375,1,"1"
30.2916666666667,-21.375,1,"1"
-63.2083333333333,-21.2916666666667,1,"1"
